대표식품명,R,G,B,HEX,식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴(μg),비타민 B6 / 피리독신(mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방산(g),EPA와 DHA의 합(mg),가돌레산(20:1) / 에이코센산(20:1)(mg),감마 리놀렌산(18:3(n-6))(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),도코사펜타에노산/토코사펜타엔산(22:5(n-3))(mg),DHA / 도코사헥사에노산/도코사헥사엔산(22:6(n-3))(mg),디호모리놀렌산/에이코사트리에노산(20:3(n-3))(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2(n-6))(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1(n-7))(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4(n-3))(mg),아라키돈산(20:4(n-6))(mg),아라키드산(20:0)(mg),알파 리놀렌산(18:3(n-3))(g),에루크산(22:1)(mg),에이코사디에노산(20:2(n-6))(mg),에이코사트리에노산(20:3(n-6))(mg),EPA / 에이코사펜타에노산(20:5(n-3))(mg),오메가3 지방산(g),오메가6 지방산(g),올레산(18:1(n-9))(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1(n-9t)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글라이신(mg),라이신(mg),류신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),카페인(mg),토코페롤(mg),토코트리에놀(mg),출처코드,출처명,1인(회)분량 참고량,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,색상구분
조개국,137,128,103,#898067,D105-250000000-0001,조개국,D,음식,1,가정식(분석 함량),5,국 및 탕류,5250,525000,해당없음,52500000,해당없음,0,해당없음,100g,16,96.3,1.67,0.89,0.91,0.25,0.18,0.6,7.0,1.3,24.0,43.0,297.0,1.0,0.0,10.0,0.378,0.045,0.12,3.19,0.0,4.01,0.05,0.0,,,,,8.65,5.59,,,,,,,,,,,,,,,,,,0.1,,0.0,,,0.0,0.0,,0.08,,,0.0,0.0,,,0.0,10.0,,0.0,,0.1,0.0,0.0,0.0,,0.0,20.0,,0.0,0.0,0.01,,0.0,0.0,10.0,,,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,30.0,,,,,30.0,11.22,0.05,,,13.74,0.09,,,,1365.5,,,183.09,77.58,82.05,91.42,27.98,61.5,67.46,10.81,234.94,166.85,66.6,49.9,,66.77,,62.36,56.53,40.34,19.33,,0.38,0.01,3,식품의약품안전처,,400g,해당없음,1,분석,2019-12-31,2025-12-29,빨강
콩나물국,171,152,96,#ab9860,D105-253000000-0001,콩나물국,D,음식,1,가정식(분석 함량),5,국 및 탕류,5253,525300,해당없음,52530000,해당없음,0,해당없음,100g,6,97.9,0.74,0.09,0.69,0.61,0.16,0.4,9.0,0.08,12.0,37.0,219.0,1.0,0.0,12.0,0.0,0.023,0.045,0.22,0.0,0.73,0.03,0.0,,,,,0.0,4.53,,,,,,,,,,,,,,,,,,0.13,,0.0,,,0.0,0.0,,0.04,,,0.0,0.0,,,0.0,0.0,,0.0,,0.07,0.0,0.0,0.0,,0.0,10.0,,0.0,0.0,0.02,,0.0,0.0,0.0,,,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,20.0,,,,,40.0,8.43,0.03,,,6.06,0.08,,,,618.24,,,77.52,17.72,33.0,37.04,6.58,32.33,29.15,6.42,54.95,159.49,29.56,22.29,,24.52,,19.11,30.29,24.28,14.02,,0.4,0.01,3,식품의약품안전처,,400g,해당없음,1,분석,2019-12-31,2025-12-29,빨강
토란국,152,145,125,#98917d,D105-255000000-0001,토란국,D,음식,1,가정식(분석 함량),5,국 및 탕류,5255,525500,해당없음,52550000,해당없음,0,해당없음,100g,16,95.6,1.0,0.12,0.71,2.61,0.27,0.1,8.0,0.08,16.0,109.0,190.0,0.0,0.0,3.0,0.023,0.018,0.46,0.35,0.0,1.12,0.04,0.0,,,,,0.06,3.88,,,,,,,,,,,,,,,,,,0.12,,0.0,,,0.0,0.08,,0.07,,,0.0,0.0,,,0.0,0.0,,0.0,,0.02,0.0,0.0,0.0,,0.0,10.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.0,20.0,,,,,30.0,6.83,0.14,,,0.0,0.06,,,,763.41,,,129.13,37.36,40.22,57.39,11.66,40.39,37.8,0.0,56.84,103.28,43.27,28.79,,38.12,,55.4,34.37,35.66,13.76,,0.09,0.01,3,식품의약품안전처,,400g,해당없음,1,분석,2019-12-31,2025-12-29,회색
해장국,133,91,60,#855b3c,D105-256210000-0001,해장국_뼈다귀,D,음식,1,가정식(분석 함량),5,국 및 탕류,5256,525621,뼈다귀,52562100,해당없음,0,해당없음,100g,26,93.7,3.19,0.97,1.04,1.06,0.63,0.3,10.0,2.03,29.0,78.0,346.0,3.0,0.0,31.0,0.116,0.056,2.051,0.17,0.0,9.45,0.21,0.0,,,,,0.18,8.84,,,,,,,,,,,,,,,,,,0.38,,0.0,,,0.0,0.11,,0.15,,,0.0,0.0,,,0.0,0.0,,0.0,,0.24,0.0,10.0,10.0,,0.0,70.0,,0.0,0.0,0.02,,0.0,0.0,0.0,,,270.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.0,120.0,,,,,50.0,8.0,0.08,,,4.09,0.46,,,,2899.64,,,437.95,151.45,244.59,280.12,50.61,179.45,123.24,11.93,190.29,337.47,186.8,107.85,,123.06,,92.79,147.08,133.77,101.19,,1.11,0.0,3,식품의약품안전처,,800g,해당없음,1,분석,2019-12-31,2025-12-29,빨강
동태국,153,122,65,#997a41,D105-272000000-0001,동태국,D,음식,1,가정식(분석 함량),5,국 및 탕류,5272,527200,해당없음,52720000,해당없음,0,해당없음,100g,17,95.2,2.42,0.16,0.84,1.4,0.0,1.0,15.0,0.14,42.0,107.0,224.0,1.0,0.0,14.0,0.0,0.03,1.535,0.44,0.0,11.46,0.02,0.0,,,,,0.48,8.59,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,20.0,,0.0,,0.01,0.0,0.0,0.0,,0.0,10.0,,0.0,0.0,0.0,,0.0,0.0,10.0,,,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,20.0,,,,,10.0,8.56,0.06,,,8.34,0.23,,,,2191.13,,,401.33,165.16,187.73,178.91,55.57,85.57,112.58,26.94,146.73,253.27,154.18,65.83,,94.15,,54.34,78.16,101.38,29.31,,0.25,0.0,3,식품의약품안전처,,400g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
갈치찌개,157,111,75,#9d6f4b,D106-259000000-0001,갈치찌개,D,음식,1,가정식(분석 함량),6,찌개 및 전골류,6259,625900,해당없음,62590000,해당없음,0,해당없음,100g,38,91.0,5.27,1.0,0.75,1.95,0.98,0.8,10.0,0.23,61.0,177.0,91.0,11.0,2.0,104.0,0.0,0.06,0.048,2.52,0.0,15.04,0.3,0.0,,,,,0.34,14.99,,,,,,,,,,,,,,,,,,0.54,,0.0,,,0.0,0.08,,0.36,,,0.0,0.0,,,20.0,130.0,,0.0,,0.05,0.0,40.0,20.0,,0.0,60.0,,0.0,0.0,0.02,,0.0,20.0,70.0,,,180.0,0.0,0.0,0.0,,0.0,0.0,0.0,,50.0,200.0,,,,,20.0,13.4,0.07,,,11.58,0.21,,,,4868.92,,,743.51,314.8,482.11,375.95,136.49,248.14,210.82,33.48,364.78,516.32,305.84,215.8,,239.28,,172.94,198.26,198.88,111.54,,0.6,0.0,3,식품의약품안전처,,250g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
감자탕,141,95,47,#8d5f2f,D106-260000000-0001,감자탕,D,음식,1,가정식(분석 함량),6,찌개 및 전골류,6260,626000,해당없음,62600000,해당없음,0,해당없음,100g,71,86.2,6.31,4.06,1.18,2.27,0.0,2.4,38.0,1.06,43.0,98.0,328.0,33.0,1.0,381.0,0.164,0.009,7.585,2.35,0.0,38.53,1.16,0.01,,,,,0.08,8.52,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,30.0,0.0,,,10.0,0.0,,0.0,,0.44,0.0,40.0,100.0,,0.0,400.0,,10.0,10.0,0.11,,20.0,20.0,0.0,,,1170.0,0.0,0.0,0.0,,0.0,0.0,10.0,,70.0,710.0,,,,,350.0,10.27,0.1,,,10.6,0.69,,,,6475.09,,,1349.64,548.53,488.26,473.8,106.44,318.84,263.41,29.51,483.31,540.22,397.27,238.78,,273.3,,189.49,252.71,376.31,145.3,,0.84,0.0,3,식품의약품안전처,,530g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
김치전골,163,108,61,#a36c3d,D106-265000000-0001,김치전골,D,음식,1,가정식(분석 함량),6,찌개 및 전골류,6265,626500,해당없음,62650000,해당없음,0,해당없음,100g,73,85.5,3.12,4.23,1.47,5.68,0.79,1.6,21.0,0.65,51.0,202.0,299.0,5.0,0.0,57.0,0.515,0.189,0.0,0.33,0.0,7.43,0.67,0.01,,,,,0.14,1.46,,,,,,,,,,,,,,,,,,0.49,,0.0,,,0.0,0.0,,0.31,,,10.0,0.0,,,0.0,0.0,,0.0,,0.64,0.0,20.0,60.0,,0.0,200.0,,0.0,10.0,0.51,,10.0,10.0,0.0,,,790.0,0.0,0.0,0.0,,10.0,0.0,10.0,,40.0,440.0,,,,,70.0,18.59,0.11,,,1.79,0.66,,,,2875.23,,,549.12,164.72,245.63,245.56,16.72,124.74,129.54,24.09,207.34,323.3,189.21,121.07,,128.96,,65.83,114.44,140.64,84.32,,1.37,0.01,3,식품의약품안전처,,270g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
김치찌개,164,104,59,#a4683b,D106-266050000-0001,김치찌개_꽁치,D,음식,1,가정식(분석 함량),6,찌개 및 전골류,6266,626605,꽁치,62660500,해당없음,0,해당없음,100g,89,83.0,7.14,5.18,1.19,3.54,0.7,2.6,50.0,0.46,96.0,227.0,249.0,19.0,6.0,150.0,0.1,0.133,0.0,0.0,1.61,24.25,0.93,0.72,,,,,2.5,28.11,,,,,,,,,,,,,,,,,,0.19,,0.0,,,0.0,0.26,,0.26,,,170.0,10.0,,,70.0,590.0,,0.0,,0.14,0.0,330.0,40.0,,0.0,90.0,,10.0,10.0,0.07,,10.0,10.0,300.0,,,180.0,0.0,0.0,0.0,,10.0,710.0,10.0,,110.0,500.0,,,,,70.0,18.97,0.16,,,15.37,0.44,,,,6506.86,,,1008.25,350.4,577.8,489.2,165.87,344.13,280.58,41.09,508.85,677.56,374.13,282.79,,301.08,,212.43,264.6,235.99,392.12,,1.08,0.03,3,식품의약품안전처,,270g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
꽃게탕,162,105,49,#a26931,D106-268000000-0001,꽃게탕,D,음식,1,가정식(분석 함량),6,찌개 및 전골류,6268,626800,해당없음,62680000,해당없음,0,해당없음,100g,17,95.5,1.86,0.41,0.81,1.44,0.95,0.8,23.0,0.44,25.0,99.0,273.0,1.0,0.0,14.0,0.055,0.045,5.883,4.56,0.0,2.61,0.04,0.0,,,,,0.25,6.45,,,,,,,,,,,,,,,,,,0.45,,0.0,,,0.0,0.1,,0.4,,,0.0,0.0,,,0.0,10.0,,0.0,,0.09,0.0,0.0,0.0,,0.0,10.0,,0.0,0.0,0.02,,0.0,0.0,10.0,,,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,30.0,,,,,130.0,10.51,0.06,,,12.72,0.28,,,,1322.58,,,223.23,73.0,92.04,90.1,24.09,61.59,55.24,5.88,201.6,138.36,71.28,48.39,,47.55,,48.41,55.83,65.96,20.05,,0.74,0.01,3,식품의약품안전처,,600g,해당없음,1,분석,2019-12-31,2025-12-29,빨강
