대표식품명,R,G,B,HEX,식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴(μg),비타민 B6 / 피리독신(mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방산(g),EPA와 DHA의 합(mg),가돌레산(20:1) / 에이코센산(20:1)(mg),감마 리놀렌산(18:3(n-6))(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),도코사펜타에노산/토코사펜타엔산(22:5(n-3))(mg),DHA / 도코사헥사에노산/도코사헥사엔산(22:6(n-3))(mg),디호모리놀렌산/에이코사트리에노산(20:3(n-3))(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2(n-6))(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1(n-7))(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4(n-3))(mg),아라키돈산(20:4(n-6))(mg),아라키드산(20:0)(mg),알파 리놀렌산(18:3(n-3))(g),에루크산(22:1)(mg),에이코사디에노산(20:2(n-6))(mg),에이코사트리에노산(20:3(n-6))(mg),EPA / 에이코사펜타에노산(20:5(n-3))(mg),오메가3 지방산(g),오메가6 지방산(g),올레산(18:1(n-9))(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1(n-9t)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글라이신(mg),라이신(mg),류신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),카페인(mg),토코페롤(mg),토코트리에놀(mg),출처코드,출처명,1인(회)분량 참고량,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,색상구분
국밥,135,118,86,#877656,D101-004160000-0001,국밥_돼지머리,D,음식,1,가정식(분석 함량),1,밥류,1004,100416,돼지머리,10041600,해당없음,0,해당없음,100g,137,71.6,6.7,5.16,0.63,15.94,0.16,0.7,9.0,0.24,24.0,47.0,181.0,5.0,0.0,61.0,0.09,0.053,0.0,0.04,0.0,23.82,1.47,0.03,,,,,0.13,5.3,,,,,,,,,,,,,,,,,,0.16,,0.0,,,0.0,0.0,,0.0,,,30.0,0.0,,,0.0,0.0,,10.0,,0.51,0.0,70.0,180.0,,0.0,370.0,,0.0,10.0,0.02,,20.0,0.0,0.0,,,1670.0,0.0,0.0,0.0,,10.0,0.0,10.0,,160.0,1000.0,,,,,60.0,5.06,0.06,,,3.25,0.39,,,,4709.09,,,814.92,688.7,285.08,306.81,40.5,169.28,204.19,26.41,339.75,392.82,368.6,125.49,,154.72,,94.2,159.89,468.09,69.65,,0.3,0.04,3,식품의약품안전처,,900g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
기장밥,193,168,100,#c1a864,D101-006000000-0001,기장밥,D,음식,1,가정식(분석 함량),1,밥류,1006,100600,해당없음,10060000,해당없음,0,해당없음,100g,166,59.1,3.44,0.57,0.15,36.77,0.0,1.5,4.0,0.33,28.0,25.0,1.0,0.0,0.0,0.0,0.0,0.005,0.205,0.29,0.0,0.0,0.08,0.0,,,,,0.0,2.52,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.1,0.0,10.0,0.0,,0.0,10.0,,0.0,0.0,0.01,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,70.0,,,,,120.0,6.77,0.26,,,0.76,0.82,,,,2705.95,,,577.74,124.88,87.1,297.21,17.24,153.76,153.17,25.29,198.02,259.63,196.87,119.03,,96.37,,64.23,158.53,141.32,35.6,,0.22,0.21,3,식품의약품안전처,,200g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
김밥,149,124,93,#957c5d,D101-007000000-0001,김밥,D,음식,1,가정식(분석 함량),1,밥류,1007,100700,해당없음,10070000,해당없음,0,해당없음,100g,140,69.5,4.84,4.55,1.11,19.98,0.0,1.4,36.0,0.3,55.0,118.0,307.0,113.0,3.0,1318.0,0.157,0.043,0.674,3.76,0.0,19.3,1.1,0.02,,,,,0.87,21.47,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,20.0,0.0,,,0.0,10.0,,0.0,,1.2,0.0,30.0,90.0,,0.0,320.0,,0.0,10.0,0.07,,10.0,20.0,20.0,,,1510.0,0.0,0.0,0.0,,10.0,0.0,10.0,,50.0,740.0,,,,,170.0,12.33,0.25,,,6.56,0.52,,,,5029.73,,,838.52,261.54,318.59,443.53,106.81,310.85,260.75,48.34,394.28,489.4,323.84,242.01,,229.52,,159.09,251.51,227.79,123.36,,0.98,0.09,3,식품의약품안전처,,230g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
덮밥,148,109,76,#946d4c,D101-010080000-0001,덮밥_낙지,D,음식,1,가정식(분석 함량),1,밥류,1010,101008,낙지,10100800,해당없음,0,해당없음,100g,150,65.9,5.88,3.34,0.8,24.12,2.16,2.3,15.0,0.36,47.0,95.0,212.0,9.0,0.0,105.0,0.0,0.069,0.0,0.81,0.0,32.45,0.37,0.01,,,,,0.2,14.23,,,,,,,,,,,,,,,,,,0.5,,0.13,,,0.0,0.97,,0.56,,,10.0,10.0,,,0.0,30.0,,0.0,,1.0,0.0,10.0,30.0,,0.0,80.0,,0.0,10.0,0.12,,0.0,10.0,20.0,,,420.0,0.0,0.0,0.0,,10.0,0.0,0.0,,0.0,280.0,,,,,240.0,13.65,0.21,,,9.89,1.18,,,,4971.0,,,875.2,301.09,324.75,395.61,111.53,261.43,267.45,40.87,455.31,506.79,269.04,217.64,,223.64,,157.12,223.29,225.68,114.56,,2.05,0.06,3,식품의약품안전처,,350g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
보리밥,147,129,109,#93816d,D101-016000000-0001,보리밥,D,음식,1,가정식(분석 함량),1,밥류,1016,101600,해당없음,10160000,해당없음,0,해당없음,100g,161,59.9,2.9,0.24,0.24,36.77,2.57,2.4,7.0,0.2,34.0,28.0,4.0,0.0,0.0,0.0,0.035,0.005,0.045,0.02,0.0,0.0,0.1,0.0,,,,,0.0,4.98,,,,,,,,,,,,,,,,,,0.0,,2.57,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.13,0.0,10.0,0.0,,0.0,10.0,,0.0,0.0,0.01,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,90.0,,,,,140.0,7.18,0.42,,,0.76,0.76,,,,2393.98,,,505.96,115.97,83.04,212.12,53.97,108.03,144.16,40.07,186.55,217.41,138.36,76.55,,81.52,,77.54,142.96,158.66,51.15,,0.29,0.0,3,식품의약품안전처,,200g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
볶음밥,185,147,95,#b9935f,D101-017000000-0001,볶음밥,D,음식,1,가정식(분석 함량),1,밥류,1017,101700,해당없음,10170000,해당없음,0,해당없음,100g,183,56.9,5.56,2.76,0.84,33.97,0.0,1.7,13.0,0.52,61.0,99.0,212.0,40.0,10.0,356.0,0.12,0.034,0.109,4.13,0.0,29.28,1.1,0.03,,,,,0.0,13.91,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,20.0,10.0,,,0.0,0.0,,0.0,,1.26,0.0,30.0,80.0,,0.0,310.0,,0.0,10.0,0.12,,10.0,20.0,0.0,,,1180.0,0.0,0.0,0.0,,20.0,0.0,10.0,,60.0,750.0,,,,,90.0,6.72,0.35,,,7.04,1.0,,,,4648.48,,,892.71,210.06,294.25,387.4,92.61,219.12,278.17,131.4,321.88,440.76,296.85,180.75,,208.31,,177.55,227.48,165.32,123.88,,2.04,0.0,3,식품의약품안전처,,350g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
비빔밥,141,107,60,#8d6b3c,D101-018000000-0001,비빔밥,D,음식,1,가정식(분석 함량),1,밥류,1018,101800,해당없음,10180000,해당없음,0,해당없음,100g,142,68.9,6.86,4.32,1.11,18.84,0.05,2.0,31.0,1.04,79.0,180.0,232.0,73.0,9.0,771.0,0.336,0.058,0.0,2.02,0.0,42.26,0.95,0.06,,,,,0.42,40.59,,,,,,,,,,,,,,,,,,0.05,,0.0,,,0.0,0.0,,0.0,,,10.0,0.0,,,0.0,0.0,,0.0,,1.26,0.0,20.0,60.0,,0.0,270.0,,0.0,10.0,0.11,,0.0,20.0,0.0,,,1280.0,0.0,0.0,0.0,,10.0,10.0,40.0,,40.0,650.0,,,,,100.0,18.01,0.36,,,8.06,2.09,,,,5712.3,,,1019.25,259.78,430.92,483.62,92.28,312.13,331.0,135.7,385.13,570.68,374.24,257.83,,276.22,,128.19,282.28,195.35,177.7,,3.31,0.09,3,식품의약품안전처,,450g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
삼각김밥,128,99,75,#80634b,D101-019460000-0001,삼각김밥_참치마요네즈,D,음식,1,가정식(분석 함량),1,밥류,1019,101946,참치마요네즈,10194600,해당없음,0,해당없음,100g,199,59.6,5.93,8.21,0.81,25.45,0.0,2.8,10.0,0.38,58.0,76.0,230.0,23.0,1.0,269.0,0.0,0.055,0.0,2.18,0.0,10.47,1.0,0.03,,,,,0.82,10.69,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,20.0,20.0,,,0.0,40.0,,0.0,,2.99,0.0,10.0,90.0,,0.0,270.0,,0.0,20.0,0.37,,10.0,10.0,30.0,,,1330.0,0.0,0.0,0.0,,20.0,10.0,0.0,,10.0,710.0,,,,,110.0,12.1,0.26,,,19.37,0.58,,,,5211.03,,,806.18,254.32,347.52,460.87,137.88,322.09,251.3,40.12,402.83,483.88,312.54,222.87,,249.13,,169.06,270.05,214.53,265.89,,7.58,0.19,3,식품의약품안전처,,200g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
수수밥,164,147,114,#a49372,D101-021000000-0001,수수밥,D,음식,1,가정식(분석 함량),1,밥류,1021,102100,해당없음,10210000,해당없음,0,해당없음,100g,161,60.8,3.16,0.92,0.15,35.02,0.08,1.1,4.0,0.17,25.0,26.0,1.0,0.0,0.0,0.0,0.01,0.01,0.16,0.08,0.0,0.0,0.13,0.0,,,,,0.0,2.45,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.08,,,0.0,0.0,,,0.0,0.0,,0.0,,0.15,0.0,10.0,0.0,,0.0,10.0,,0.0,0.0,0.01,,0.0,0.0,0.0,,,90.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,120.0,,,,,110.0,6.0,0.28,,,0.55,0.67,,,,2425.54,,,507.78,113.25,77.49,271.52,37.37,126.79,133.21,28.68,180.45,235.3,168.95,98.53,,86.74,,53.88,138.91,139.15,27.57,,0.19,0.18,3,식품의약품안전처,,200g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
알밥,147,107,59,#936b3b,D101-023000000-0001,알밥,D,음식,1,가정식(분석 함량),1,밥류,1023,102300,해당없음,10230000,해당없음,0,해당없음,100g,128,72.8,4.73,5.11,1.59,15.75,2.3,3.5,43.0,0.44,61.0,128.0,430.0,39.0,0.0,467.0,0.379,0.036,0.0,2.64,0.0,45.98,0.59,0.03,,,,,1.93,7.14,,,,,,,,,,,,,,,,,,0.55,,1.12,,,0.0,0.07,,0.56,,,30.0,0.0,,,90.0,0.0,,0.0,,1.1,0.0,30.0,50.0,,0.0,150.0,,0.0,20.0,0.04,,10.0,10.0,60.0,,,960.0,0.0,0.0,0.0,,20.0,0.0,10.0,,50.0,400.0,,,,,40.0,14.41,0.17,,,15.3,0.75,,,,3598.77,,,792.69,203.92,233.2,326.28,67.94,177.68,226.78,82.0,226.12,319.72,279.35,0.0,,179.48,,103.79,168.76,138.58,72.48,,1.15,0.05,3,식품의약품안전처,,330g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
영양돌솥밥,137,117,90,#89755a,D101-026000000-0001,영양돌솥밥,D,음식,1,가정식(분석 함량),1,밥류,1026,102600,해당없음,10260000,해당없음,0,해당없음,100g,184,57.4,3.43,2.87,0.21,36.06,0.63,2.1,9.0,0.48,32.0,36.0,6.0,10.0,0.0,124.0,0.031,0.031,0.217,0.0,0.0,0.0,0.61,0.01,,,,,0.0,8.67,,,,,,,,,,,,,,,,,,0.12,,0.0,,,0.0,0.38,,0.14,,,0.0,0.0,,,0.0,0.0,,50.0,,0.62,0.0,50.0,20.0,,0.0,90.0,,0.0,10.0,0.07,,0.0,0.0,0.0,,,360.0,0.0,10.0,0.0,,10.0,0.0,10.0,,10.0,400.0,,,,,120.0,6.89,0.29,,,2.07,1.14,,,,2814.65,,,558.03,137.07,110.34,266.15,58.94,150.0,155.71,29.56,245.67,297.29,170.31,114.6,,103.95,,86.63,156.6,135.11,38.7,,1.49,0.24,3,식품의약품안전처,,350g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
오므라이스,184,146,93,#b8925d,D101-028000000-0001,오므라이스,D,음식,1,가정식(분석 함량),1,밥류,1028,102800,해당없음,10280000,해당없음,0,해당없음,100g,173,64.3,6.5,7.23,1.42,20.54,3.19,2.4,19.0,0.84,93.0,163.0,433.0,64.0,31.0,398.0,0.138,0.103,0.493,67.24,0.0,86.99,1.38,0.02,,,,,0.39,53.35,,,,,,,,,,,,,,,,,,0.76,,0.0,,,0.63,1.08,,0.73,,,20.0,10.0,,,0.0,20.0,,0.0,,1.59,0.0,30.0,100.0,,0.0,350.0,,10.0,10.0,0.15,,10.0,60.0,0.0,,,1580.0,0.0,0.0,0.0,,10.0,10.0,10.0,,80.0,990.0,,,,,150.0,12.24,0.21,,,17.41,0.92,,,,6321.79,,,999.2,257.34,409.41,533.78,170.92,411.02,404.82,100.35,452.83,644.39,366.76,290.11,,303.68,,220.26,344.4,266.69,145.86,,2.22,0.07,3,식품의약품안전처,,400g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
자장밥,110,95,81,#6e5f51,D101-031000000-0001,자장밥,D,음식,1,가정식(분석 함량),1,밥류,1031,103100,해당없음,10310000,해당없음,0,해당없음,100g,122,74.4,4.27,4.72,1.02,15.57,0.03,2.1,11.0,0.41,49.0,137.0,236.0,11.0,0.0,127.0,0.221,0.268,0.413,3.94,0.0,5.75,0.58,0.01,,,,,0.0,11.3,,,,,,,,,,,,,,,,,,0.02,,0.0,,,0.0,0.02,,0.0,,,10.0,10.0,,,0.0,0.0,,0.0,,1.12,0.0,10.0,50.0,,0.0,160.0,,0.0,10.0,0.13,,0.0,10.0,0.0,,,660.0,0.0,0.0,0.0,,10.0,0.0,0.0,,20.0,400.0,,,,,70.0,10.28,0.24,,,4.28,0.55,,,,3384.69,,,725.97,162.37,240.43,282.74,31.11,151.27,189.49,66.33,220.81,346.15,221.29,129.31,,156.03,,75.53,147.79,124.29,113.8,,1.95,0.06,3,식품의약품안전처,,470g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
잡곡밥,154,125,113,#9a7d71,D101-032000000-0001,잡곡밥,D,음식,1,가정식(분석 함량),1,밥류,1032,103200,해당없음,10320000,해당없음,0,해당없음,100g,146,63.9,5.3,0.87,0.58,29.33,0.32,6.1,17.0,1.33,111.0,157.0,3.0,0.0,0.0,1.0,0.155,0.125,0.0,0.0,0.0,0.0,0.22,0.0,,,,,0.0,14.68,,,,,,,,,,,,,,,,,,0.0,,0.1,,,0.0,0.22,,0.0,,,10.0,0.0,,,0.0,0.0,,0.0,,0.43,0.0,0.0,10.0,,0.0,20.0,,0.0,10.0,0.04,,0.0,0.0,0.0,,,80.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,200.0,,,,,220.0,35.31,0.6,,,0.45,0.93,,,,5205.76,,,1286.52,199.78,268.87,431.0,83.54,284.19,254.58,65.43,283.27,401.78,234.95,198.6,,187.62,,130.47,288.11,488.32,118.75,,0.98,0.1,3,식품의약품안전처,,200g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
잡채밥,121,90,47,#795a2f,D101-033000000-0001,잡채밥,D,음식,1,가정식(분석 함량),1,밥류,1033,103300,해당없음,10330000,해당없음,0,해당없음,100g,150,65.8,4.02,3.42,0.95,25.79,0.05,3.0,16.0,0.78,47.0,148.0,227.0,118.0,0.0,1413.0,0.656,0.042,0.084,4.31,0.0,5.91,0.41,0.05,,,,,0.07,17.2,,,,,,,,,,,,,,,,,,0.03,,0.0,,,0.0,0.03,,0.0,,,10.0,0.0,,,0.0,0.0,,0.0,,0.63,0.0,10.0,20.0,,0.0,120.0,,0.0,10.0,0.05,,0.0,0.0,0.0,,,520.0,0.0,0.0,0.0,,20.0,0.0,20.0,,10.0,270.0,,,,,50.0,13.47,0.27,,,3.85,0.85,,,,2936.67,,,588.83,161.53,207.46,262.26,43.6,139.37,157.78,56.23,185.83,282.02,207.33,116.57,,138.46,,51.92,136.68,119.02,81.79,,1.08,0.03,3,식품의약품안전처,,550g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
주먹밥,178,126,77,#b27e4d,D101-035280000-0001,주먹밥_소고기,D,음식,1,가정식(분석 함량),1,밥류,1035,103528,소고기,10352800,해당없음,0,해당없음,100g,178,57.3,4.76,2.18,1.03,34.73,0.23,1.5,9.0,0.29,46.0,69.0,357.0,0.0,0.0,0.0,0.0,0.06,1.285,0.0,0.0,6.52,0.65,0.02,,,,,0.34,14.41,,,,,,,,,,,,,,,,,,0.08,,0.0,,,0.0,0.11,,0.05,,,10.0,0.0,,,0.0,0.0,,0.0,,0.55,10.0,30.0,30.0,,0.0,180.0,,0.0,10.0,0.03,,0.0,10.0,10.0,,,830.0,0.0,0.0,0.0,,10.0,0.0,10.0,,40.0,430.0,,,,,120.0,9.41,0.3,,,4.83,1.02,,,,4664.85,,,847.97,286.06,260.71,401.17,103.49,274.59,249.88,28.13,373.07,456.43,298.18,192.55,,178.99,,129.05,230.89,249.49,104.24,,0.86,0.12,3,식품의약품안전처,,200g,해당없음,1,분석,2019-12-31,2025-12-29,빨강
짬뽕밥,170,105,52,#aa6934,D101-037000000-0001,짬뽕밥,D,음식,1,가정식(분석 함량),1,밥류,1037,103700,해당없음,10370000,해당없음,0,해당없음,100g,72,82.8,3.2,1.4,0.95,11.65,1.34,1.4,13.0,0.67,53.0,138.0,234.0,13.0,0.0,146.0,0.243,0.042,0.433,2.69,0.0,15.78,0.23,0.01,,,,,0.36,16.17,,,,,,,,,,,,,,,,,,0.76,,0.0,,,0.0,0.26,,0.32,,,10.0,10.0,,,0.0,40.0,,0.0,,0.57,0.0,10.0,20.0,,0.0,50.0,,0.0,0.0,0.07,,0.0,0.0,20.0,,,230.0,0.0,0.0,0.0,,10.0,0.0,0.0,,0.0,170.0,,,,,70.0,14.95,0.14,,,12.08,0.36,,,,2907.03,,,564.55,137.95,198.31,212.81,62.6,145.8,126.04,7.42,266.6,318.01,176.94,114.1,,142.55,,94.94,122.7,169.31,46.4,,1.32,0.05,3,식품의약품안전처,,900g,해당없음,1,분석,2019-12-31,2025-12-29,빨강
차조밥,141,138,101,#8d8a65,D101-038000000-0001,차조밥,D,음식,1,가정식(분석 함량),1,밥류,1038,103800,해당없음,10380000,해당없음,0,해당없음,100g,157,61.5,2.84,0.65,0.18,34.86,0.04,1.8,4.0,0.32,30.0,27.0,1.0,0.0,0.0,0.0,0.025,0.01,0.0,0.8,0.0,0.0,0.14,0.0,,,,,0.0,4.91,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.04,,,0.0,0.0,,,0.0,0.0,,0.0,,0.18,0.0,10.0,0.0,,0.0,10.0,,0.0,0.0,0.01,,0.0,0.0,0.0,,,70.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,120.0,,,,,80.0,8.16,0.29,,,0.77,1.28,,,,2332.26,,,487.23,113.57,75.58,263.4,15.06,125.95,129.43,26.75,176.09,230.71,162.97,97.25,,86.89,,51.16,133.43,132.41,24.43,,0.1,0.18,3,식품의약품안전처,,200g,해당없음,1,분석,2017-12-31,2025-12-29,노랑
찰밥,137,111,90,#896f5a,D101-039000000-0001,찰밥,D,음식,1,가정식(분석 함량),1,밥류,1039,103900,해당없음,10390000,해당없음,0,해당없음,100g,153,61.4,4.39,0.18,0.48,33.56,0.49,2.9,11.0,0.22,56.0,168.0,3.0,0.0,0.0,0.0,0.007,0.018,0.0,0.92,0.0,0.0,0.08,0.0,,,,,0.0,20.64,,,,,,,,,,,,,,,,,,0.46,,0.0,,,0.0,0.0,,0.03,,,0.0,0.0,,,0.0,0.0,,0.0,,0.09,0.0,0.0,0.0,,0.0,10.0,,0.0,0.0,0.01,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,70.0,,,,,130.0,20.97,0.53,,,0.6,0.89,,,,3543.47,,,681.78,158.58,194.6,309.6,25.1,158.04,219.89,46.61,271.26,442.52,191.41,118.85,,139.7,,107.23,202.09,180.53,95.69,,1.47,0.07,3,식품의약품안전처,,280g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
초밥,170,124,89,#aa7c59,D101-042200000-0001,초밥_모듬,D,음식,1,가정식(분석 함량),1,밥류,1042,104220,모듬,10422000,해당없음,0,해당없음,100g,160,61.2,9.66,1.59,0.86,26.72,1.4,2.0,14.0,0.07,106.0,161.0,142.0,1.0,1.0,0.0,0.316,0.026,39.684,0.0,0.61,19.43,0.41,0.02,,,,,0.43,11.61,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,1.4,,0.0,,,20.0,0.0,,,20.0,200.0,,0.0,,0.21,0.0,30.0,30.0,,0.0,70.0,,0.0,0.0,0.01,,0.0,20.0,50.0,,,330.0,0.0,0.0,0.0,,10.0,10.0,0.0,,40.0,300.0,,,,,100.0,15.43,0.21,,,36.44,0.66,,,,9960.14,,,1571.24,494.69,840.09,857.06,283.59,600.52,455.71,41.75,770.32,1017.94,568.35,474.5,,485.79,,305.35,469.76,394.91,328.56,,0.62,0.13,3,식품의약품안전처,,380g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
카레라이스,185,146,47,#b9922f,D101-044000000-0001,카레라이스,D,음식,1,가정식(분석 함량),1,밥류,1044,104400,해당없음,10440000,해당없음,0,해당없음,100g,108,73.9,3.11,1.4,0.81,20.74,0.16,0.5,12.0,0.3,35.0,91.0,210.0,13.0,0.0,155.0,0.115,0.017,0.217,3.16,0.0,2.79,0.44,0.04,,,,,0.0,6.68,,,,,,,,,,,,,,,,,,0.02,,0.0,,,0.0,0.0,,0.14,,,0.0,0.0,,,0.0,0.0,,10.0,,0.34,0.0,20.0,20.0,,0.0,80.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,370.0,0.0,0.0,0.0,,0.0,0.0,40.0,,10.0,320.0,,,,,40.0,7.5,0.09,,,4.58,0.74,,,,2931.73,,,604.6,133.55,184.4,251.98,54.48,145.94,149.28,52.12,209.03,274.01,178.23,129.04,,135.21,,89.98,139.2,123.91,76.77,,0.85,0.12,3,식품의약품안전처,,480g,해당없음,1,분석,2018-12-31,2025-12-29,빨강
콩나물밥,152,123,80,#987b50,D101-047000000-0001,콩나물밥,D,음식,1,가정식(분석 함량),1,밥류,1047,104700,해당없음,10470000,해당없음,0,해당없음,100g,123,70.1,4.68,1.58,1.28,22.39,0.04,1.9,16.0,0.52,125.0,241.0,272.0,4.0,0.0,50.0,0.059,0.047,1.019,0.0,0.0,3.14,0.42,0.01,,,,,0.0,6.18,,,,,,,,,,,,,,,,,,0.04,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.54,0.0,0.0,20.0,,0.0,130.0,,0.0,0.0,0.03,,0.0,0.0,0.0,,,420.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.0,280.0,,,,,60.0,20.91,0.16,,,12.97,1.01,,,,3442.66,,,634.54,170.4,186.3,290.65,46.62,147.72,201.43,35.17,251.62,481.26,218.52,116.93,,146.85,,79.4,170.82,174.54,89.88,,1.11,0.11,3,식품의약품안전처,,320g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
콩밥,145,134,125,#91867d,D101-048020000-0001,콩밥_검정콩,D,음식,1,가정식(분석 함량),1,밥류,1048,104802,검정콩,10480200,해당없음,0,해당없음,100g,165,59.7,4.53,1.12,0.35,34.3,0.0,1.1,13.0,0.38,52.0,86.0,3.0,1.0,0.0,10.0,1.27,0.015,0.01,0.0,0.0,0.0,0.14,0.0,,,,,0.0,8.73,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.26,0.0,0.0,0.0,,0.0,20.0,,0.0,0.0,0.03,,0.0,0.0,0.0,,,110.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,120.0,,,,,130.0,14.14,0.49,,,1.05,2.27,,,,3918.65,,,799.84,179.79,195.96,342.39,21.76,243.48,207.55,46.5,329.51,442.34,202.63,185.28,,151.7,,74.69,213.06,205.52,76.68,,1.21,0.17,3,식품의약품안전처,,200g,해당없음,1,분석,2017-12-31,2025-12-29,회색
하이라이스,160,109,61,#a06d3d,D101-049000000-0001,하이라이스,D,음식,1,가정식(분석 함량),1,밥류,1049,104900,해당없음,10490000,해당없음,0,해당없음,100g,112,72.7,4.02,1.13,0.84,21.34,0.0,0.9,10.0,0.07,36.0,77.0,246.0,6.0,0.0,69.0,0.0,0.011,0.097,1.0,0.0,2.83,0.13,0.0,,,,,0.0,4.75,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,90.0,,0.0,,0.01,0.0,10.0,10.0,,0.0,30.0,,0.0,0.0,0.0,,0.0,20.0,30.0,,,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.0,90.0,,,,,40.0,7.1,0.2,,,5.64,1.07,,,,2585.74,,,524.25,127.49,145.23,249.04,53.8,101.8,139.67,41.58,178.26,259.48,161.25,90.86,,109.8,,87.41,119.27,147.28,49.28,,0.73,0.16,3,식품의약품안전처,,360g,해당없음,1,분석,2017-12-31,2025-12-29,빨강
